url,year,percentage
"http://www.trendlist.org/trends/staircase
",2004,0
"http://www.trendlist.org/trends/staircase
",N/A,29859913793103
"http://www.trendlist.org/trends/slash
",2015,2
"http://www.trendlist.org/trends/slash
",2014,6
"http://www.trendlist.org/trends/slash
",2013,7
"http://www.trendlist.org/trends/slash
",2012,8
"http://www.trendlist.org/trends/slash
",2011,12
"http://www.trendlist.org/trends/slash
",2010,12
"http://www.trendlist.org/trends/slash
",2009,7
"http://www.trendlist.org/trends/slash
",2008,4
"http://www.trendlist.org/trends/slash
",2007,2
"http://www.trendlist.org/trends/slash
",2006,0
"http://www.trendlist.org/trends/slash
",N/A,24145496535797
"http://www.trendlist.org/trends/neon-colors
",2016,0
"http://www.trendlist.org/trends/neon-colors
",2015,5
"http://www.trendlist.org/trends/neon-colors
",2014,9
"http://www.trendlist.org/trends/neon-colors
",2013,12
"http://www.trendlist.org/trends/neon-colors
",2012,8
"http://www.trendlist.org/trends/neon-colors
",2011,8
"http://www.trendlist.org/trends/neon-colors
",2010,6
"http://www.trendlist.org/trends/neon-colors
",2009,4
"http://www.trendlist.org/trends/neon-colors
",2008,2
"http://www.trendlist.org/trends/neon-colors
",2007,2
"http://www.trendlist.org/trends/neon-colors
",2006,1
"http://www.trendlist.org/trends/neon-colors
",2005,0
"http://www.trendlist.org/trends/neon-colors
",2004,0
"http://www.trendlist.org/trends/neon-colors
",2003,0
"http://www.trendlist.org/trends/neon-colors
",N/A,25521091811414
"http://www.trendlist.org/trends/scanned
",2016,1
"http://www.trendlist.org/trends/scanned
",2015,4
"http://www.trendlist.org/trends/scanned
",2014,7
"http://www.trendlist.org/trends/scanned
",2013,12
"http://www.trendlist.org/trends/scanned
",2012,12
"http://www.trendlist.org/trends/scanned
",2011,9
"http://www.trendlist.org/trends/scanned
",2010,4
"http://www.trendlist.org/trends/scanned
",2009,2
"http://www.trendlist.org/trends/scanned
",2008,1
"http://www.trendlist.org/trends/scanned
",1990,0
"http://www.trendlist.org/trends/scanned
",N/A,3436170212766
"http://www.trendlist.org/trends/empty
",2016,0
"http://www.trendlist.org/trends/empty
",2015,3
"http://www.trendlist.org/trends/empty
",2014,7
"http://www.trendlist.org/trends/empty
",2013,11
"http://www.trendlist.org/trends/empty
",2012,7
"http://www.trendlist.org/trends/empty
",2011,9
"http://www.trendlist.org/trends/empty
",2010,4
"http://www.trendlist.org/trends/empty
",2009,4
"http://www.trendlist.org/trends/empty
",2008,3
"http://www.trendlist.org/trends/empty
",2007,1
"http://www.trendlist.org/trends/empty
",2006,1
"http://www.trendlist.org/trends/empty
",2005,1
"http://www.trendlist.org/trends/empty
",2004,0
"http://www.trendlist.org/trends/empty
",2003,0
"http://www.trendlist.org/trends/empty
",2002,1
"http://www.trendlist.org/trends/empty
",1999,0
"http://www.trendlist.org/trends/empty
",1998,0
"http://www.trendlist.org/trends/empty
",N/A,31764705882353
"http://www.trendlist.org/trends/circle
",2015,5
"http://www.trendlist.org/trends/circle
",2014,6
"http://www.trendlist.org/trends/circle
",2013,7
"http://www.trendlist.org/trends/circle
",2012,7
"http://www.trendlist.org/trends/circle
",2011,9
